N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
122,농심,"409,000","1,500",-0.37%,"5,000","24,878","6,083",18.70,"3,788",14.10,5.17,
124,LG화학우,"321,500","3,000",+0.94%,"5,000","24,719","7,689",55.82,"6,128",19.32,N/A,
128,한화생명,"2,775",15,-0.54%,"5,000","24,102","868,530",8.83,"444,629",3.06,9.05,
129,에스원,"61,500",500,+0.82%,500,"23,369","37,999",54.59,"5,852",14.63,10.19,
130,휠라홀딩스,"38,000",50,-0.13%,"1,000","23,086","60,752",43.90,"112,549",10.73,19.71,
131,BGF리테일,"133,500",800,+0.60%,"1,000","23,074","17,284",31.08,"4,084",11.65,21.85,
132,한국가스공사,"24,950",50,-0.20%,"5,000","23,032","92,313",5.38,"48,550",2.91,15.67,
133,제일기획,"20,000",130,+0.65%,200,"23,008","115,041",26.27,"36,483",11.83,16.64,
134,BNK금융지주,"7,140",40,+0.56%,"5,000","22,997","322,088",33.92,"129,382",3.30,8.43,
135,롯데쇼핑,"78,500",600,+0.77%,"5,000","22,207","28,289",8.20,"6,955",-31.94,-3.30,
136,LS ELECTRIC,"73,400",700,+0.96%,"5,000","22,020","30,000",17.34,"34,711",12.21,5.95,
137,TIGER 미국S&P500,"15,525",20,+0.13%,0,"21,665","139,550",0.00,"187,897",N/A,N/A,
138,이마트,"77,000","1,100",+1.45%,"5,000","21,464","27,876",24.06,"51,248",15.62,9.59,
139,팬오션,"3,965",130,-3.17%,"1,000","21,196","534,570",11.80,"9,859,840",6.02,16.74,
140,영원무역,"47,050",100,+0.21%,500,"20,849","44,311",28.60,"15,660",3.33,26.80,
141,KODEX 200TR,"11,945",120,+1.01%,0,"20,766","173,850",0.00,"16,502",N/A,N/A,
142,OCI홀딩스,"104,200","6,200",+6.33%,"5,000","20,645","19,813",19.39,"160,915",2.01,25.21,
143,JB금융지주,"10,480",50,+0.48%,"5,000","20,644","196,983",34.05,"54,944",3.40,13.76,
144,KCC,"226,500","4,500",+2.03%,"5,000","20,128","8,886",12.15,"5,185",7.40,0.67,
146,TIGER 200,"34,920",365,+1.06%,0,"19,642","56,250",4.49,"189,155",N/A,N/A,
147,KODEX 레버리지,"17,440",335,+1.96%,0,"19,559","112,150",1.59,"4,571,774",N/A,N/A,
148,한화,"25,600",300,+1.19%,"5,000","19,189","74,959",14.12,"38,596",4.36,24.47,
149,TIGER 차이나전기차SOLACTIVE,"7,375",75,+1.03%,0,"18,821","255,200",0.27,"234,129",N/A,N/A,
150,롯데에너지머티리얼즈,"40,750",350,+0.87%,500,"18,790","46,111",7.92,"24,946",-52.04,3.58,
151,동서,"18,340",90,+0.49%,500,"18,285","99,700",3.72,"9,540",9.22,11.33,
153,현대엘리베이,"46,350",100,+0.22%,"5,000","18,119","39,092",25.71,"11,207",5.21,6.89,
156,신세계,"175,400",400,+0.23%,"5,000","17,268","9,845",15.62,"4,025",4.64,10.34,
